"","marca","precio","año","kilometraje","transmicion","link"
"1","nissan altima sense  aut ","9990000","2016","89402","automatica","https://www.portillousados.cl/web/autos-usados/nissan/altima/2016/id/169261"
"2","toyota corolla  aut ","12590000","2018","42000","automatica","https://www.portillousados.cl/web/autos-usados/toyota/corolla/2018/id/234949"
"3","audi q tfsi  aut ","20490000","2016","89920","automatica","https://www.portillousados.cl/web/autos-usados/audi/q5/2016/id/238902"
"4","kia sportage lx  ","13590000","2017","40637","manual","https://www.portillousados.cl/web/autos-usados/kia/sportage/2017/id/241139"
"5","byd s glxi  ","6790000","2014","46610","manual","https://www.portillousados.cl/web/autos-usados/byd/s6/2014/id/256186"
"6","toyota hilux ","16290000","2018","90471","manual","https://www.portillousados.cl/web/autos-usados/toyota/hilux/2018/id/260728"
"7","nissan pathfinder sense ","13690000","2015","94812","automatica","https://www.portillousados.cl/web/autos-usados/nissan/pathfinder/2015/id/267092"
"8","peugeot  allure blue hdi  at ","11590000","2017","82100","automatica","https://www.portillousados.cl/web/autos-usados/peugeot/3008/2017/id/271940"
"9","bmw i coupe  aut ","20990000","2018","37353","automatica","https://www.portillousados.cl/web/autos-usados/bmw/114/2018/id/272120"
"10","opel insignia  ","11790000","2014","104926","automatica","https://www.portillousados.cl/web/autos-usados/opel/insignia/2014/id/272974"
"11","nissan qashqai cvt  ","14190000","2016","94500","automatica","https://www.portillousados.cl/web/autos-usados/nissan/qashqai/2016/id/275181"
"12","volvo v cc t hb x  aut ","19990000","2020","27000","automatica","https://www.portillousados.cl/web/autos-usados/volvo/v40/2020/id/275439"
"13","ssangyong tivoli full  ","9890000","2016","109157","manual","https://www.portillousados.cl/web/autos-usados/ssangyong/tivoli/2016/id/275701"
"14","toyota yaris xli  ","9090000","2016","59000","manual","https://www.portillousados.cl/web/autos-usados/toyota/yaris/2016/id/276472"
"15","fiat  sport  ","8990000","2017","49005","manual","https://www.portillousados.cl/web/autos-usados/fiat/500/2017/id/276522"
"16","chevrolet spark gt hb dohc  ","7590000","2019","33000","manual","https://www.portillousados.cl/web/autos-usados/chevrolet/spark/2019/id/276801"
"17","kia rio  ex  ","9790000","2017","63246","manual","https://www.portillousados.cl/web/autos-usados/kia/rio-4/2017/id/276980"
"18","mercedes benz clk   aut ","14990000","2005","93000","automatica","https://www.portillousados.cl/web/autos-usados/mercedes-benz/clk-320/2005/id/276992"
"19","toyota yaris xli  ","9490000","2017","26810","manual","https://www.portillousados.cl/web/autos-usados/toyota/yaris/2017/id/277611"
"20","kia morning ex  ","8490000","2019","26000","manual","https://www.portillousados.cl/web/autos-usados/kia/morning/2019/id/277630"
"21","ford focus  ","8490000","2013","74829","manual","https://www.portillousados.cl/web/autos-usados/ford/focus/2013/id/277822"
"22","mercedes benz e  ","26990000","2017","81497","automatica","https://www.portillousados.cl/web/autos-usados/mercedes-benz/e-300/2017/id/277825"
"23","peugeot  active pack hdi  ","12390000","2021","29","manual","https://www.portillousados.cl/web/autos-usados/peugeot/301/2021/id/277877"
"24","toyota aygo hb ","8390000","2019","17830","manual","https://www.portillousados.cl/web/autos-usados/toyota/aygo/2019/id/277983"
"25","peugeot  active pack hdi  ","12390000","2021","5","manual","https://www.portillousados.cl/web/autos-usados/peugeot/301/2021/id/278046"
"26","peugeot  active pack hdi  ","12390000","2021","5","manual","https://www.portillousados.cl/web/autos-usados/peugeot/301/2021/id/278049"
"27","peugeot  blue hdi hb  aut ","14590000","2018","80674","automatica","https://www.portillousados.cl/web/autos-usados/peugeot/308/2018/id/278278"
"28","peugeot  active  ","12590000","2017","80928","manual","https://www.portillousados.cl/web/autos-usados/peugeot/2008/2017/id/278307"
"29","honda civic exl  aut ","10390000","2015","103412","automatica","https://www.portillousados.cl/web/autos-usados/honda/civic/2015/id/278308"
"30","suzuki celerio glx  aut ","6990000","2016","43900","automatica","https://www.portillousados.cl/web/autos-usados/suzuki/celerio/2016/id/278312"
"31","bmw x x drive  ","16590000","2014","93440","automatica","https://www.portillousados.cl/web/autos-usados/bmw/x5/2014/id/278410"
"32","nissan murano exclusive x  at ","26990000","2019","12141","automatica","https://www.portillousados.cl/web/autos-usados/nissan/murano/2019/id/278421"
"33","toyota yaris sedan otto  ","10290000","2019","7430","manual","https://www.portillousados.cl/web/autos-usados/toyota/yaris/2019/id/278424"
"34","hyundai accent rb gl  ","10590000","2019","30500","manual","https://www.portillousados.cl/web/autos-usados/hyundai/accent/2019/id/278528"
"35","hyundai accent rb gls  ","8390000","2014","69000","manual","https://www.portillousados.cl/web/autos-usados/hyundai/accent/2014/id/278614"
"36","toyota corolla xli ls  ","8590000","2014","63136","manual","https://www.portillousados.cl/web/autos-usados/toyota/corolla/2014/id/278755"
"37","volkswagen polo highline  ","9190000","2018","64317","manual","https://www.portillousados.cl/web/autos-usados/volkswagen/polo/2018/id/278757"
"38","chery iq gls  ","5990000","2019","16663","manual","https://www.portillousados.cl/web/autos-usados/chery/iq/2019/id/278968"
"39","citroen c n hb  ","11990000","2016","20155","manual","https://www.portillousados.cl/web/autos-usados/citroen/c-4/2016/id/278971"
"40","nissan qashqai  ","10790000","2014","136600","manual","https://www.portillousados.cl/web/autos-usados/nissan/qashqai/2014/id/278975"
"41","renault symbol  ","7990000","2018","30410","manual","https://www.portillousados.cl/web/autos-usados/renault/symbol/2018/id/278999"
"42","peugeot  compact  ","5590000","2011","77417","manual","https://www.portillousados.cl/web/autos-usados/peugeot/207/2011/id/279003"
"43","kia morning lx  ","6890000","2018","64507","manual","https://www.portillousados.cl/web/autos-usados/kia/morning/2018/id/279127"
"44","toyota auris lei  aut ","8790000","2013","87760","automatica","https://www.portillousados.cl/web/autos-usados/toyota/auris/2013/id/279228"
"45","hyundai elantra gls  ","8990000","2015","92000","manual","https://www.portillousados.cl/web/autos-usados/hyundai/elantra/2015/id/279317"
"46","honda ridgeline rtl x  aut ","25990000","2018","72215","automatica","https://www.portillousados.cl/web/autos-usados/honda/ridgeline/2018/id/279353"
"47","suzuki grand nomade glx sport  ","9590000","2013","42429","manual","https://www.portillousados.cl/web/autos-usados/suzuki/grand-nomade/2013/id/279465"
"48","peugeot  active pack  hdi hp ","8990000","2015","79462","manual","https://www.portillousados.cl/web/autos-usados/peugeot/208/2015/id/279466"
"49","suzuki sx glx sport  ","5990000","2011","148929","manual","https://www.portillousados.cl/web/autos-usados/suzuki/sx4/2011/id/279693"
"50","toyota auris  aut ","10090000","2015","52900","automatica","https://www.portillousados.cl/web/autos-usados/toyota/auris/2015/id/279696"
"51","toyota yaris gli  ","9590000","2018","77500","manual","https://www.portillousados.cl/web/autos-usados/toyota/yaris/2018/id/279724"
"52","peugeot  premium  ","5490000","2011","118000","manual","https://www.portillousados.cl/web/autos-usados/peugeot/207/2011/id/279779"
"53","nissan nv s long  ","17290000","2016","45000","manual","https://www.portillousados.cl/web/autos-usados/nissan/nv350/2016/id/279867"
"54","audi a coupe sport tfsi  aut ","25590000","2018","24000","automatica","https://www.portillousados.cl/web/autos-usados/audi/a5/2018/id/279907"
"55","toyota yaris sedan otto  ","10590000","2019","11500","manual","https://www.portillousados.cl/web/autos-usados/toyota/yaris/2019/id/280000"
"56","toyota yaris gli  ","10490000","2018","12500","manual","https://www.portillousados.cl/web/autos-usados/toyota/yaris/2018/id/280001"
"57","bmw i lci  aut ","19590000","2018","29000","automatica","https://www.portillousados.cl/web/autos-usados/bmw/116/2018/id/280002"
"58","citroen c  aut ","11990000","2018","60314","automatica","https://www.portillousados.cl/web/autos-usados/citroen/c-4/2018/id/280050"
"59","toyota prius c hb  aut ","12790000","2018","32000","automatica","https://www.portillousados.cl/web/autos-usados/toyota/prius/2018/id/280057"
"60","toyota auris lei  ","5890000","2011","142004","manual","https://www.portillousados.cl/web/autos-usados/toyota/auris/2011/id/280060"
"61","ssangyong korando  ","9290000","2014","69759","manual","https://www.portillousados.cl/web/autos-usados/ssangyong/korando/2014/id/280138"
"62","suzuki swift gls  at ","8690000","2015","92120","automatica","https://www.portillousados.cl/web/autos-usados/suzuki/swift/2015/id/280141"
"63","kia rio  ex  ","9490000","2017","40500","manual","https://www.portillousados.cl/web/autos-usados/kia/rio/2017/id/280142"
